TIME,O21,O22,PEDAL,THROTTLE,NE,MAP,TA,STFT,LTFT
1121,0.8,0.72,25.88,21.57,3484.25,33,43,-2.34,1.56
1122,0.8,0.72,25.88,21.57,3484.25,33,43,-2.34,1.56
1123,0.8,0.72,25.88,21.57,3539,33,43,-2.34,1.56
1124,0.7,0.72,25.88,21.57,3539,33,42,-2.34,1.56
1125,0.7,0.72,25.88,21.57,3539,33,42,-2.34,1.56
1126,0.7,0.72,25.88,21.96,3593.75,33,42,-1.56,1.56
1127,0.7,0.7,25.88,21.96,3593.75,33,41,-1.56,1.56
1128,0.7,0.7,25.88,21.96,3593.75,33,41,-1.56,1.56
1129,0.82,0.72,25.88,22.35,3648.25,33,40,-3.12,1.56
1130,0.82,0.72,25.88,22.35,3648.25,33,40,-3.12,1.56
1131,0.82,0.72,25.88,22.35,3648.25,33,40,-3.12,1.56
1132,0.78,0.72,25.88,22.35,3722.5,33,39,-4.69,1.56
1133,0.78,0.72,25.88,22.35,3722.5,33,39,-4.69,1.56
1134,0.78,0.72,25.88,22.35,3722.5,33,39,-4.69,1.56
1135,0.76,0.72,25.88,22.75,3785,33,38,-5.47,1.56
1136,0.76,0.72,25.88,22.75,3785,33,38,-5.47,1.56
1137,0.76,0.72,25.88,22.75,3785,33,38,-5.47,1.56
1138,0.16,0.72,25.88,23.14,3843.75,33,38,-2.34,1.56
1139,0.16,0.72,25.88,23.14,3843.75,32,37,-2.34,1.56
1140,0.16,0.72,25.88,23.14,3843.75,32,37,-2.34,1.56
1141,0.78,0.7,25.88,23.53,3933.5,32,36,-3.12,1.56
1142,0.78,0.7,25.88,23.53,3933.5,32,36,-3.12,1.56
1143,0.8,0.72,25.88,23.53,3996,32,36,-4.69,1.56
1144,0.8,0.72,25.88,23.53,3996,32,35,-4.69,1.56
1145,0.8,0.72,25.88,23.53,3996,32,35,-4.69,1.56
1146,0.74,0.72,25.88,23.53,4074,32,36,-5.47,1.56
1147,0.74,0.72,25.88,23.53,4074,32,36,-5.47,1.56
1148,0.74,0.72,25.88,23.53,4074,32,36,-5.47,1.56
1149,0.28,0.7,25.88,23.53,4160,31,37,-2.34,1.56
1150,0.28,0.7,25.88,23.53,4160,31,37,-2.34,1.56
1151,0.28,0.7,25.88,23.53,4160,31,37,-2.34,1.56
1152,0.78,0.7,25.88,23.53,4234.25,30,38,-3.91,1.56
1153,0.78,0.7,25.88,23.53,4234.25,30,38,-3.91,1.56
1154,0.78,0.7,25.88,23.53,4234.25,30,38,-3.91,1.56
1155,0.74,0.72,25.88,23.53,4292.75,29,38,-0.78,1.56
1156,0.74,0.72,25.88,23.53,4292.75,29,38,-0.78,1.56
1157,0.74,0.72,25.88,23.53,4339.75,29,38,1.56,1.56
1158,0.08,0.72,25.88,23.53,4339.75,29,38,1.56,1.56
1159,0.08,0.7,25.88,23.53,4339.75,29,39,1.56,1.56
1160,0.64,0.7,25.88,23.53,4394.5,29,39,3.91,1.56
1161,0.64,0.7,25.88,23.53,4394.5,29,40,3.91,1.56
1162,0.64,0.7,25.88,23.53,4394.5,29,40,3.91,1.56
1163,0.8,0.7,25.88,23.53,4460.75,28,40,2.34,1.56
1164,0.8,0.7,25.88,23.53,4460.75,28,40,2.34,1.56
1165,0.8,0.7,25.88,23.53,4460.75,28,40,2.34,1.56
1166,0.72,0.7,25.88,23.53,4500,28,40,2.34,1.56
1167,0.72,0.7,25.88,23.53,4500,28,40,2.34,1.56
1168,0.58,0.7,25.88,23.53,4554.5,28,40,3.12,1.56
1169,0.58,0.7,25.88,23.53,4554.5,28,40,3.12,1.56
1170,0.58,0.7,25.88,23.53,4554.5,28,40,3.12,1.56
1171,0.74,0.7,25.88,23.53,4585.75,28,41,1.56,1.56
1172,0.74,0.7,25.88,23.53,4585.75,28,41,1.56,1.56
1173,0.74,0.7,25.88,23.53,4585.75,28,41,1.56,1.56
1174,0.74,0.72,25.88,23.53,4625,27,40,-0.78,1.56
1175,0.74,0.72,25.88,23.53,4625,27,40,-0.78,1.56
1176,0.58,0.72,25.49,23.53,4664,27,40,0,1.56
1177,0.58,0.72,25.49,23.53,4664,27,40,0,1.56
1178,0.58,0.72,25.49,22.75,4695.25,27,40,-1.56,1.56
1179,0.68,0.7,25.49,22.75,4695.25,26,40,-1.56,1.56
1180,0.68,0.7,25.49,22.75,4695.25,26,40,-1.56,1.56
1181,0.7,0.72,25.1,22.35,4699,25,40,-1.56,1.56
1182,0.7,0.72,25.1,22.35,4699,25,40,-1.56,1.56
1183,0.7,0.72,25.1,22.35,4699,25,40,-1.56,1.56
1184,0.76,0.7,24.71,21.96,4703,24,41,-3.12,1.56
1185,0.76,0.7,24.71,21.96,4703,24,41,-3.12,1.56
1186,0.76,0.7,24.71,21.96,4703,24,41,-3.12,1.56
1187,0.78,0.72,24.31,21.57,4691.25,23,42,-5.47,1.56
1188,0.78,0.72,24.31,21.57,4691.25,23,42,-5.47,1.56
1189,0.74,0.72,24.31,21.18,4675.75,22,44,-3.91,1.56
1190,0.74,0.72,24.31,21.18,4675.75,22,44,-3.91,1.56
1191,0.74,0.72,24.31,21.18,4675.75,22,44,-3.91,1.56
1192,0.64,0.72,24.31,21.18,4640.5,22,44,-1.56,1.56
1193,0.64,0.72,24.31,21.18,4640.5,21,44,-1.56,1.56
1194,0.64,0.72,24.31,21.18,4640.5,21,44,-1.56,1.56
1195,0.78,0.7,23.92,21.18,4593.75,21,44,-2.34,1.56
1196,0.78,0.7,23.92,21.18,4593.75,21,44,-2.34,1.56
1197,0.78,0.7,23.92,21.18,4593.75,21,44,-2.34,1.56
1198,0.78,0.72,23.92,21.18,4566.25,21,44,-3.12,1.56
1199,0.78,0.72,23.92,21.18,4566.25,21,44,-3.12,1.56
1200,0.78,0.72,23.92,21.18,4566.25,21,44,-3.12,1.56
1201,0.14,0.72,23.92,21.18,4515.5,21,44,-0.78,1.56
1202,0.14,0.72,23.92,21.18,4515.5,21,44,-0.78,1.56
1203,0.48,0.7,23.92,21.18,4492,21,44,2.34,1.56
1204,0.48,0.7,23.92,21.18,4492,21,44,2.34,1.56
1205,0.48,0.7,23.92,21.18,4492,21,44,2.34,1.56
1206,0.82,0.7,23.92,21.18,4453,22,44,0,1.56
1207,0.82,0.7,23.92,21.18,4453,22,44,0,1.56
1208,0.82,0.7,23.92,21.18,4453,22,44,0,1.56
1209,0.8,0.72,24.31,21.18,4433.5,22,43,-1.56,1.56
1210,0.8,0.72,24.31,21.18,4433.5,22,43,-1.56,1.56
1211,0.68,0.72,24.31,20.78,4386.5,22,43,-1.56,1.56
1212,0.08,0.72,24.31,21.18,4359.25,22,43,0.78,1.56
1213,0.08,0.72,24.31,21.18,4359.25,22,42,0.78,1.56
1214,0.2,0.72,23.92,20.78,4343.75,22,42,3.91,1.56
1215,0.2,0.72,23.92,20.78,4343.75,22,42,3.91,1.56
1216,0.2,0.72,23.92,20.78,4343.75,22,42,3.91,1.56
1217,0.8,0.72,23.53,20.39,4324,22,41,2.34,1.56
1218,0.8,0.72,23.53,20.39,4324,22,41,2.34,1.56
1219,0.8,0.72,23.14,19.61,4292.75,22,41,0.78,1.56
1220,0.8,0.72,23.14,19.61,4292.75,21,42,0.78,1.56
1221,0.8,0.72,23.14,19.61,4292.75,21,42,0.78,1.56
1222,0.82,0.72,23.14,20,4226.5,20,42,-0.78,1.56
1223,0.82,0.72,23.14,20,4226.5,20,42,-0.78,1.56
1224,0.82,0.72,23.14,20,4226.5,20,42,-0.78,1.56
1225,0.76,0.72,23.14,20,4164,20,42,-1.56,1.56
1226,0.76,0.72,23.14,20,4164,20,42,-1.56,1.56
1227,0.76,0.72,23.14,20,4164,20,42,-1.56,1.56
1228,0.08,0.72,23.14,20,4113.25,20,42,0.78,1.56
1229,0.08,0.72,23.14,20,4113.25,20,41,0.78,1.56
1230,0.08,0.72,23.14,20,4113.25,20,41,0.78,1.56
1231,0.12,0.72,23.14,19.61,4062.5,21,41,3.12,1.56
1232,0.12,0.72,23.14,19.61,4062.5,21,41,3.12,1.56
1233,0.12,0.72,23.14,19.61,4003.75,21,41,3.12,1.56
1234,0.82,0.72,23.14,19.61,4003.75,21,40,1.56,1.56
1235,0.82,0.72,23.14,19.61,4003.75,21,40,1.56,1.56
1236,0.82,0.72,23.14,19.61,3953,21,40,0,1.56
1237,0.82,0.72,23.14,19.61,3953,22,40,0,1.56
1238,0.82,0.72,23.14,19.61,3953,22,40,0,1.56
1239,0.82,0.72,23.14,19.61,3914,22,39,-1.56,1.56
1240,0.82,0.72,23.14,19.61,3914,22,39,-1.56,1.56
1241,0.82,0.72,23.14,19.61,3914,22,39,-1.56,1.56
1242,0.8,0.72,23.14,19.22,3851.5,22,39,-3.12,1.56
1243,0.8,0.72,23.14,19.22,3851.5,22,39,-3.12,1.56
1244,0.78,0.72,23.14,19.22,3792.75,22,39,-4.69,1.56
1245,0.78,0.72,23.14,19.22,3792.75,22,38,-4.69,1.56
1246,0.78,0.72,23.14,19.22,3792.75,22,38,-4.69,1.56
1247,0.46,0.72,23.14,18.82,3734.25,22,38,-3.91,1.56
1248,0.46,0.72,23.14,18.82,3734.25,22,38,-3.91,1.56
1249,0.46,0.72,23.14,18.82,3734.25,22,38,-3.91,1.56
1250,0.1,0.72,23.14,18.43,3667.75,22,40,-1.56,1.56
1251,0.1,0.72,23.14,18.43,3667.75,22,40,-1.56,1.56
1252,0.1,0.72,23.14,18.43,3667.75,22,40,-1.56,1.56
1253,0.1,0.72,22.75,18.04,3597.5,22,40,-1.56,1.56
1254,0.1,0.72,22.75,18.04,3597.5,22,41,-1.56,1.56
1255,0.1,0.72,22.75,18.04,3597.5,22,41,-1.56,1.56
1256,0.82,0.72,22.75,17.65,3519.5,21,43,-3.12,1.56
1257,0.82,0.72,22.75,17.65,3519.5,21,43,-3.12,1.56
1258,0.82,0.72,22.75,17.65,3425.75,21,43,-3.12,1.56
1259,0.82,0.72,22.35,16.86,3425.75,21,44,-3.91,1.56
1260,0.82,0.72,22.35,16.86,3425.75,21,44,-3.91,1.56
1261,0.82,0.72,22.35,16.47,3312.5,21,43,-5.47,1.56
1262,0.82,0.72,22.35,16.47,3312.5,21,43,-5.47,1.56
1263,0.82,0.72,22.35,16.47,3312.5,21,43,-5.47,1.56
1264,0.82,0.72,21.96,16.08,3207,20,42,-7.03,1.56
1265,0.82,0.72,21.96,16.08,3207,20,42,-7.03,1.56
1266,0.82,0.72,21.96,16.08,3207,20,42,-7.03,1.56
1267,0.82,0.72,21.96,15.69,3070.25,20,42,-7.81,1.56
1268,0.82,0.72,21.96,15.69,3070.25,20,42,-7.81,1.56
1269,0.82,0.72,21.96,15.69,3070.25,20,42,-7.81,1.56
1270,0.8,0.74,21.96,15.69,2914,20,42,-9.37,1.56
1271,0.8,0.74,21.96,15.69,2914,20,42,-9.37,1.56
1272,0.08,0.74,21.96,15.29,2753.75,20,42,-7.81,1.56
1273,0.08,0.74,21.96,15.29,2753.75,20,43,-7.81,1.56
1274,0.08,0.74,21.96,15.29,2753.75,20,43,-7.81,1.56
1275,0.06,0.76,21.57,15.29,2613.25,20,43,-6.25,1.56
1276,0.06,0.76,21.57,15.29,2613.25,20,43,-6.25,1.56
1277,0.06,0.76,21.57,15.29,2613.25,20,43,-6.25,1.56
1278,0.08,0.76,21.57,15.29,2492,20,43,-4.69,1.56
1279,0.08,0.76,21.57,15.29,2492,20,43,-4.69,1.56
1280,0.08,0.76,21.57,15.29,2492,20,43,-4.69,1.56
1281,0.08,0.76,21.57,15.29,2355.25,20,43,-3.91,1.56
1282,0.08,0.74,21.57,15.29,2355.25,20,44,-3.91,1.56
1283,0.08,0.74,21.57,15.29,2355.25,20,44,-3.91,1.56
1284,0.06,0.74,21.57,15.29,2355.25,20,45,-2.34,1.56
1285,0.06,0.74,21.57,15.29,2355.25,20,45,-2.34,1.56
1286,0.06,0.74,21.96,15.69,2101.5,21,43,-0.78,1.56
1287,0.06,0.74,21.96,15.69,2101.5,21,43,-0.78,1.56
1288,0.06,0.74,21.96,15.69,2101.5,21,43,-0.78,1.56
1289,0.06,0.72,21.96,15.69,2000,22,42,0.78,1.56
1290,0.06,0.72,21.96,15.69,2000,22,42,0.78,1.56
1291,0.06,0.72,21.96,15.69,2000,22,42,0.78,1.56
1292,0.06,0.72,21.96,15.69,1890.5,23,42,1.56,1.56
1293,0.06,0.72,21.96,15.69,1890.5,23,42,1.56,1.56
1294,0.06,0.72,21.96,15.69,1890.5,23,42,1.56,1.56
1295,0.08,0.72,21.96,15.69,1816.25,23,42,2.34,1.56
1296,0.08,0.72,21.96,15.69,1816.25,25,42,2.34,1.56
1297,0.1,0.72,21.96,15.69,1742,26,42,3.91,1.56
1298,0.1,0.72,21.96,15.69,1742,26,42,3.91,1.56
1299,0.1,0.72,21.96,15.69,1742,26,42,3.91,1.56
1300,0.3,0.72,21.96,15.69,1683.5,27,41,4.69,1.56
1301,0.3,0.72,21.96,15.69,1683.5,27,41,4.69,1.56
1302,0.3,0.72,21.96,15.69,1683.5,27,41,4.69,1.56
1303,0.78,0.72,21.96,15.69,1640.5,28,40,3.91,1.56
1304,0.78,0.72,21.96,15.69,1640.5,28,40,3.91,1.56
1305,0.78,0.72,21.96,15.69,1640.5,28,40,3.91,1.56
1306,0.8,0.72,21.96,15.69,1593.75,28,40,3.12,1.56
1307,0.8,0.72,21.96,15.69,1558.5,28,40,3.12,1.56
1308,0.78,0.72,21.96,15.69,1558.5,29,39,2.34,1.56
1309,0.72,0.72,21.96,15.69,1535,29,38,1.56,1.56
1310,0.72,0.72,21.96,15.69,1535,29,38,1.56,1.56
1311,0.3,0.72,21.96,15.69,1507.75,29,38,3.12,1.56
1312,0.3,0.72,21.96,15.69,1507.75,29,38,3.12,1.56
1313,0.1,0.72,21.96,15.69,1488.25,29,38,3.91,1.56
1314,0.1,0.72,21.96,15.69,1488.25,30,37,3.91,1.56
1315,0.1,0.72,21.96,15.69,1488.25,30,37,3.91,1.56
1316,0.1,0.72,21.96,15.69,1460.75,30,36,4.69,1.56
1317,0.1,0.72,21.96,15.69,1460.75,30,36,4.69,1.56
1318,0.1,0.72,21.96,15.69,1460.75,30,36,4.69,1.56
1319,0.46,0.72,21.96,15.69,1445.25,30,35,4.69,1.56
1320,0.46,0.72,21.96,15.69,1445.25,30,35,4.69,1.56
1321,0.46,0.72,21.96,15.69,1445.25,30,35,4.69,1.56
1322,0.8,0.72,22.35,16.08,1429.5,31,34,4.69,1.56
1323,0.8,0.72,22.35,16.08,1429.5,31,34,4.69,1.56
1324,0.8,0.72,23.14,16.08,1414,31,34,4.69,1.56
1325,0.8,0.72,23.14,16.08,1414,32,32,3.91,1.56
1326,0.8,0.72,23.14,16.08,1414,32,32,3.91,1.56
1327,0.74,0.72,23.14,16.47,1417.75,34,30,3.12,1.56
1328,0.74,0.72,23.14,16.47,1417.75,34,30,3.12,1.56
1329,0.74,0.72,23.14,16.47,1417.75,34,30,3.12,1.56
1330,0.74,0.72,23.14,16.47,1417.75,34,30,3.12,1.56
1331,0.08,0.72,23.14,16.86,1429.5,34,30,3.91,1.56
1332,0.08,0.72,23.14,16.86,1429.5,37,30,3.91,1.56
1333,0.08,0.72,23.14,16.86,1429.5,37,30,3.91,1.56
1334,0.28,0.72,23.14,16.86,1460.75,38,30,4.69,1.56
1335,0.28,0.72,23.14,16.86,1460.75,38,30,4.69,1.56
1336,0.82,0.72,23.14,16.86,1515.5,37,31,5.47,1.56
1337,0.82,0.72,23.14,16.86,1515.5,37,31,5.47,1.56
1338,0.82,0.72,23.14,16.86,1515.5,37,31,5.47,1.56
1339,0.8,0.72,23.14,16.86,1578,37,33,4.69,1.56
1340,0.8,0.72,23.14,16.86,1578,37,33,4.69,1.56
1341,0.8,0.72,23.14,16.86,1578,37,33,4.69,1.56
1342,0.76,0.72,23.14,16.86,1613.25,36,34,3.91,1.56
1343,0.74,0.72,23.14,16.86,1652.25,36,35,3.12,1.56
1344,0.74,0.72,23.14,16.86,1652.25,36,35,3.12,1.56
1345,0.74,0.72,23.14,16.86,1683.5,35,35,2.34,1.56
1346,0.74,0.72,23.14,16.86,1683.5,35,35,2.34,1.56
1347,0.68,0.72,23.14,16.86,1710.75,35,36,1.56,1.56
1348,0.68,0.72,23.14,16.86,1710.75,35,36,1.56,1.56
1349,0.68,0.72,23.14,16.86,1722.5,35,36,1.56,1.56
1350,0.68,0.72,23.14,16.86,1722.5,35,37,1.56,1.56
1351,0.68,0.72,23.14,16.86,1722.5,35,37,1.56,1.56
1352,0.18,0.72,23.14,16.86,1742,34,37,0.78,1.56
1353,0.18,0.72,23.14,16.86,1742,34,37,0.78,1.56
1354,0.1,0.72,23.14,16.86,1750,34,37,2.34,1.56
1355,0.1,0.72,23.14,16.86,1750,34,37,2.34,1.56
1356,0.1,0.72,23.14,16.86,1750,34,37,2.34,1.56
1357,0.24,0.72,23.14,16.86,1761.5,34,37,3.12,1.56
1358,0.24,0.72,23.14,16.86,1761.5,34,37,3.12,1.56
1359,0.24,0.72,23.14,16.86,1773.25,34,37,3.91,1.56
1360,0.76,0.72,23.14,16.86,1773.25,34,37,3.91,1.56
1361,0.76,0.72,23.14,16.86,1773.25,34,37,3.91,1.56
1362,0.82,0.72,23.14,16.86,1781.25,34,37,3.12,1.56
1363,0.82,0.72,23.14,16.86,1781.25,34,37,3.12,1.56
1364,0.82,0.72,23.14,16.86,1781.25,34,37,3.12,1.56
1365,0.76,0.72,23.14,16.47,1789,34,38,2.34,1.56
1366,0.76,0.72,23.14,16.47,1789,34,38,2.34,1.56
1367,0.76,0.72,23.14,16.47,1792.75,33,38,1.56,1.56
1368,0.76,0.72,23.14,16.47,1792.75,33,38,1.56,1.56
1369,0.7,0.72,23.14,16.47,1796.75,33,38,0.78,1.56
1370,0.7,0.72,23.14,16.47,1796.75,33,38,0.78,1.56
1371,0.66,0.72,23.14,16.47,1796.75,33,38,0,1.56
1372,0.66,0.72,23.14,16.47,1796.75,33,38,0,1.56
1373,0.66,0.72,23.14,16.47,1800.75,33,38,-3.12,1.56
1374,0.26,0.72,23.14,16.47,1800.75,33,38,-3.12,1.56
1375,0.26,0.72,23.14,16.47,1800.75,33,38,-3.12,1.56
1376,0.1,0.72,23.14,16.47,1800.75,33,38,-1.56,1.56
1377,0.1,0.72,23.14,16.47,1800.75,33,38,-1.56,1.56
1378,0.1,0.72,23.14,16.47,1800.75,33,38,-1.56,1.56
1379,0.16,0.72,22.75,16.47,1800.75,33,38,-0.78,1.56
1380,0.16,0.72,22.75,16.47,1800.75,32,38,-0.78,1.56
1381,0.16,0.72,22.75,16.47,1800.75,32,38,-0.78,1.56
1382,0.8,0.72,22.75,16.47,1796.75,32,39,0,1.56
1383,0.8,0.72,22.75,16.47,1796.75,32,39,0,1.56
1384,0.8,0.72,22.75,16.47,1796.75,32,39,0,1.56
1385,0.82,0.72,22.75,16.47,1792.75,32,39,-0.78,1.56
1386,0.82,0.72,22.75,16.47,1792.75,32,39,-0.78,1.56
1387,0.8,0.72,22.75,16.08,1781.25,32,39,-1.56,1.56
1388,0.8,0.72,22.75,16.08,1781.25,32,39,-1.56,1.56
1389,0.74,0.72,22.75,16.08,1769.5,31,39,-2.34,1.56
1390,0.74,0.72,22.75,16.08,1769.5,31,39,-2.34,1.56
1391,0.34,0.72,22.75,16.08,1753.75,31,39,-3.12,1.56
1392,0.1,0.72,22.75,16.08,1738.25,31,39,-2.34,1.56
1393,0.1,0.72,22.75,16.08,1738.25,31,39,-2.34,1.56
1394,0.1,0.72,22.75,16.08,1738.25,31,39,-2.34,1.56
1395,0.1,0.72,22.75,16.08,1722.5,31,39,-1.56,1.56
1396,0.1,0.72,22.75,16.08,1722.5,31,39,-1.56,1.56
1397,0.1,0.72,22.75,16.08,1722.5,31,39,-1.56,1.56
1398,0.22,0.72,22.75,16.08,1707,32,39,0,1.56
1399,0.22,0.72,22.75,16.08,1707,32,39,0,1.56
1400,0.22,0.72,22.75,16.08,1707,32,39,0,1.56
1401,0.64,0.72,22.75,16.08,1695.25,32,39,0.78,1.56
1402,0.64,0.72,22.75,16.08,1695.25,32,39,0.78,1.56
1403,0.72,0.72,22.75,16.08,1683.5,32,38,0,1.56
1404,0.72,0.72,22.75,16.08,1683.5,32,38,0,1.56
1405,0.72,0.72,22.75,16.08,1683.5,32,38,0,1.56
1406,0.38,0.72,22.75,16.08,1679.5,32,38,-0.78,1.56
1407,0.38,0.72,22.75,16.08,1679.5,32,38,-0.78,1.56
1408,0.38,0.72,22.75,16.08,1679.5,32,38,-0.78,1.56
1409,0.1,0.72,22.75,16.08,1667.75,32,38,0,1.56
1410,0.1,0.72,22.75,16.08,1667.75,32,38,0,1.56
1411,0.1,0.72,22.75,16.08,1667.75,32,38,0,1.56
1412,0.1,0.72,22.75,16.08,1656.25,32,38,0.78,1.56
1413,0.1,0.72,22.75,16.08,1656.25,32,38,0.78,1.56
1414,0.1,0.72,22.75,16.08,1656.25,32,38,0.78,1.56
1415,0.18,0.72,22.75,16.08,1652.25,32,37,2.34,1.56
1416,0.18,0.72,22.75,16.08,1652.25,32,37,2.34,1.56
1417,0.18,0.72,22.75,16.08,1652.25,32,37,2.34,1.56
1418,0.78,0.72,22.75,16.08,1652.25,32,38,2.34,1.56
1419,0.78,0.72,22.75,16.08,1652.25,32,38,2.34,1.56
1420,0.78,0.72,22.75,16.08,1648.25,32,38,1.56,1.56
1421,0.78,0.72,22.75,16.08,1648.25,32,38,1.56,1.56
1422,0.78,0.72,22.75,16.08,1648.25,32,38,1.56,1.56
1423,0.72,0.72,22.75,16.08,1640.5,32,37,1.56,1.56
1424,0.72,0.72,22.75,16.08,1640.5,32,37,1.56,1.56
1425,0.72,0.72,22.75,16.08,1640.5,32,37,1.56,1.56
1426,0.4,0.72,22.75,16.08,1636.5,32,37,0.78,1.56
1427,0.4,0.72,22.75,16.08,1636.5,32,37,0.78,1.56
1428,0.4,0.72,22.75,16.08,1636.5,32,37,0.78,1.56
1429,0.12,0.72,22.75,16.08,1636.5,32,37,0.78,1.56
1430,0.12,0.72,22.75,16.08,1636.5,32,37,0.78,1.56
1431,0.1,0.72,22.75,16.08,1632.75,32,37,2.34,1.56
1432,0.1,0.72,22.75,16.08,1632.75,32,37,2.34,1.56
1433,0.1,0.72,22.75,16.08,1632.75,32,37,2.34,1.56
1434,0.44,0.72,22.75,16.08,1628.75,32,37,3.12,1.56
1435,0.44,0.72,22.75,16.08,1628.75,32,37,3.12,1.56
1436,0.44,0.72,22.75,16.08,1628.75,32,37,3.12,1.56
1437,0.8,0.72,22.75,16.08,1632.75,32,37,3.12,1.56
1438,0.8,0.72,22.75,16.08,1632.75,32,37,3.12,1.56
1439,0.8,0.72,22.75,16.08,1632.75,32,37,3.12,1.56
1440,0.8,0.72,22.75,16.08,1632.75,32,37,2.34,1.56
1441,0.8,0.72,22.75,16.08,1632.75,32,37,2.34,1.56
1442,0.8,0.72,22.75,16.08,1632.75,32,37,2.34,1.56
1443,0.76,0.72,22.75,16.08,1628.75,32,38,2.34,1.56
1444,0.76,0.72,22.75,16.08,1628.75,32,38,2.34,1.56
1445,0.76,0.72,22.75,16.08,1628.75,32,38,2.34,1.56
1446,0.66,0.72,22.75,16.08,1628.75,32,37,1.56,1.56
1447,0.66,0.72,22.75,16.08,1628.75,32,37,1.56,1.56
1448,0.18,0.72,22.75,16.08,1625,32,37,0.78,1.56
1449,0.18,0.72,22.75,16.08,1625,32,37,0.78,1.56
1450,0.18,0.72,22.75,16.08,1625,32,37,0.78,1.56
1451,0.1,0.72,22.75,16.08,1625,32,38,1.56,1.56
1452,0.1,0.72,22.75,16.08,1625,32,38,1.56,1.56
1453,0.1,0.72,22.75,16.08,1625,32,38,1.56,1.56
1454,0.18,0.72,22.75,16.08,1621,32,37,3.12,1.56
1455,0.18,0.72,22.75,16.08,1621,32,37,3.12,1.56
1456,0.18,0.72,22.75,16.08,1621,32,37,3.12,1.56
1457,0.74,0.72,22.75,16.08,1625,32,37,3.91,1.56
1458,0.74,0.72,22.75,16.08,1625,32,37,3.91,1.56
1459,0.74,0.72,22.75,16.08,1625,32,37,3.91,1.56
1460,0.8,0.72,22.75,16.08,1628.75,32,37,3.12,1.56
1461,0.8,0.72,22.75,16.08,1628.75,32,37,3.12,1.56
1462,0.8,0.72,22.75,16.08,1628.75,32,37,3.12,1.56
1463,0.76,0.72,22.75,16.08,1628.75,32,37,2.34,1.56
1464,0.76,0.72,22.75,16.08,1628.75,32,37,2.34,1.56
1465,0.66,0.72,22.75,16.08,1621,32,38,1.56,1.56
1466,0.66,0.72,22.75,16.08,1621,32,38,1.56,1.56
1467,0.66,0.72,22.75,16.08,1621,32,38,1.56,1.56
1468,0.32,0.72,22.75,16.08,1625,32,38,1.56,1.56
1469,0.32,0.72,22.75,16.08,1625,32,36,1.56,1.56
1470,0.32,0.72,22.75,16.08,1625,32,36,1.56,1.56
1471,0.1,0.72,22.75,16.08,1621,32,37,2.34,1.56
1472,0.1,0.72,22.75,16.08,1621,32,37,2.34,1.56
1473,0.1,0.72,22.75,16.08,1621,32,37,2.34,1.56
1474,0.14,0.72,22.75,16.08,1621,32,37,3.12,1.56
1475,0.14,0.72,22.75,16.08,1621,32,37,3.12,1.56
1476,0.78,0.72,22.75,16.08,1621,32,36,3.91,1.56
1477,0.78,0.72,22.75,16.08,1621,32,36,3.91,1.56
1478,0.8,0.72,22.75,16.08,1625,32,37,3.12,1.56
1479,0.8,0.72,22.75,16.08,1625,32,37,3.12,1.56
1480,0.76,0.72,22.75,16.08,1625,32,38,3.12,1.56
1481,0.74,0.72,22.75,16.08,1621,31,36,1.56,1.56
1482,0.74,0.72,22.75,16.08,1621,31,36,1.56,1.56
1483,0.74,0.72,22.75,16.08,1621,31,36,1.56,1.56
1484,0.76,0.72,22.75,16.08,1621,31,38,1.56,1.56
1485,0.76,0.72,22.75,16.08,1621,31,38,1.56,1.56
1486,0.76,0.72,22.75,16.08,1621,31,38,1.56,1.56
1487,0.74,0.72,22.75,16.08,1609.25,31,37,0.78,1.56
1488,0.74,0.72,22.75,16.08,1609.25,31,37,0.78,1.56
1489,0.74,0.72,22.75,16.08,1593.75,31,37,0,1.56
1490,0.62,0.72,22.75,16.08,1593.75,31,37,0,1.56
1491,0.16,0.72,22.75,16.08,1585.75,31,37,-1.56,1.56
1492,0.16,0.72,22.75,16.08,1585.75,31,38,-1.56,1.56
1493,0.16,0.72,22.75,16.08,1574,31,38,-0.78,1.56
1494,0.1,0.72,22.75,16.08,1574,31,38,-0.78,1.56
1495,0.12,0.72,22.75,16.08,1562.5,31,38,0,1.56
1496,0.12,0.72,22.75,16.08,1562.5,31,38,0,1.56
1497,0.36,0.72,22.75,16.08,1554.5,31,37,0.78,1.56
1498,0.36,0.72,22.75,16.08,1554.5,31,37,0.78,1.56
1499,0.78,0.72,22.75,16.08,1542.75,31,37,1.56,1.56
1500,0.78,0.72,22.75,16.08,1542.75,31,37,1.56,1.56
1501,0.78,0.72,22.75,16.08,1542.75,31,37,1.56,1.56
1502,0.78,0.72,22.75,16.08,1539,31,36,0.78,1.56
1503,0.78,0.72,22.75,16.08,1539,31,36,0.78,1.56
1504,0.78,0.72,22.75,16.08,1539,31,36,0.78,1.56
1505,0.74,0.72,22.75,16.08,1531.25,31,36,0,1.56
1506,0.74,0.72,22.75,16.08,1531.25,31,36,0,1.56
1507,0.74,0.72,22.75,16.08,1531.25,31,36,0,1.56
1508,0.66,0.72,22.75,16.08,1527.25,31,36,-0.78,1.56
1509,0.66,0.72,22.75,16.08,1527.25,31,36,-0.78,1.56
1510,0.36,0.72,22.75,16.08,1519.5,31,36,-0.78,1.56
1511,0.36,0.72,22.75,16.08,1519.5,31,36,-0.78,1.56
